targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp_obs,theta_asp_sun
3200 Phaethon (1983 TB),2017-Dec-09 12:00,2458097.0,14.6,0.15,,,85.69935,43.72285,86.0282,43.72775,-452.709,120.852,74.9674,57.9783,193.1,630.8,-565583.0,239707.8,341.666,2.7268555073,1.179,0.309,11.79,5.23,97.186,0.0016,567741.6,*,0.055752,,,,,23.64,0.01,,,78.5511,2.7244,1.129459160887,-26.2518124,0.15456737744884,-29.2300192,1.285498,29.54694,32.67068,157.706,/L,19.3164,72.0,58.3,2.9776,203.479,259.806,-19.34023,Aur,69.183304,86.9400765,20.3350026,,,167.043114,7.208404,21.625300341,0.000354,0.008,0.025,0.026,0.006,76.916,0.0,0.026,1.5211,3e-07,0.01,0.03,1e-05,210.6135,-3.008357631,19.3143,82.4889,11.5575,120.60112688373812,137.97451174088533
3200 Phaethon (1983 TB),2017-Dec-09 14:00,2458097.083333333,14.6,0.15,,m,85.34623,43.78851,85.6753,43.79406,-464.438,117.5646,88.0017,79.4459,92.66,652.63,-567029.0,239974.1,342.51,4.7323312578,1.017,0.267,11.76,5.22,97.197,0.0016,568002.7,*,0.056263,,,,,22.56,0.01,,,78.5818,2.7119,1.128194946319,-26.2774791,0.15316475380315,-29.0452519,1.273832,29.57672,32.59227,157.7785,/L,19.2768,73.3,57.4,2.9447,202.39,259.361,-19.30647,Aur,69.183307,86.6704976,20.4091046,,,166.853633,7.023996,23.6246159636,0.000354,0.008,0.025,0.026,0.006,77.146,0.0,0.026,1.5206,3e-07,0.01,0.03,1e-05,210.6467,-0.979355516,19.2747,82.3733,11.5863,120.5382611231312,137.99030731250565
3200 Phaethon (1983 TB),2017-Dec-09 16:00,2458097.166666667,14.6,0.15,,m,84.98468,43.85208,85.31394,43.8583,-473.538,113.5656,272.9085,78.696,94.6,-651.79,-568501.0,240233.5,343.372,6.7378070039,1.019,0.268,11.74,5.22,97.208,0.0016,568256.8,*,0.056779,,,,,21.44,0.01,,,78.6127,2.6994,1.126929495975,-26.3031946,0.15177160554533,-28.8420491,1.262246,29.60656,32.46002,157.8491,/L,19.2385,74.4,56.5,2.9124,201.278,258.906,-19.26933,Aur,69.18331,86.394712,20.4820031,,,166.662246,6.834268,1.6239261032,0.000354,0.008,0.025,0.026,0.006,77.383,0.0,0.027,1.5202,3e-07,0.01,0.03,1e-05,210.6799,1.050210755,19.2365,82.2548,11.6146,120.47572054595423,138.00610754808946
3200 Phaethon (1983 TB),2017-Dec-09 18:00,2458097.25,14.6,0.15,,m,84.61681,43.91347,84.94623,43.92038,-479.92,109.9478,285.8067,57.2928,197.3,-627.78,-569994.0,240485.5,344.248,8.7432827457,1.187,0.312,11.72,5.22,97.219,0.0016,568500.8,*,0.057302,,,,,20.31,0.01,,,78.6435,2.6869,1.125662807505,-26.3289592,0.15038797358728,-28.6555344,1.250739,29.63647,32.30707,157.9169,/L,19.2025,75.5,55.8,2.8806,200.148,258.443,-19.22934,Aur,69.183313,86.1143342,20.5535881,,,166.469777,6.640502,3.6232484358,0.000354,0.008,0.026,0.026,0.006,77.625,0.0,0.027,1.5197,3e-07,0.01,0.03,1e-05,210.7132,3.080200539,19.2005,82.1342,11.6421,120.41349258486926,138.02187957353166
3200 Phaethon (1983 TB),2017-Dec-09 20:00,2458097.333333333,14.6,0.15,,m,84.24449,43.97319,84.57404,43.98077,-484.31,107.7017,298.5054,37.1805,322.3,-573.05,-571500.0,240731.7,345.135,10.7487584834,1.651,0.433,11.69,5.21,97.228,0.0016,568730.3,*,0.057831,,,,,19.17,0.01,,,78.6745,2.6744,1.124394878405,-26.354773,0.14901229354053,-28.5157059,1.239297,29.66645,32.17256,157.9806,/L,19.1697,76.6,55.2,2.8495,199.005,257.973,-19.18748,Aur,69.183316,85.8308154,20.6243344,,,166.276465,6.444124,5.6225971442,0.000354,0.008,0.026,0.026,0.006,77.869,0.0,0.027,1.5191,3e-07,0.01,0.03,1e-05,210.7466,5.110489033,19.1678,82.0122,11.6694,120.35101046863147,138.03765587575276
3200 Phaethon (1983 TB),2017-Dec-09 22:00,2458097.416666667,14.6,0.15,*,m,83.86875,44.03219,84.19842,44.04044,-488.07,107.435,313.1865,19.5687,453.7,-475.01,-573015.0,240975.2,346.031,12.7542342173,2.957,0.776,11.67,5.21,97.236,0.0016,568940.1,*,0.058367,,,,,18.02,0.01,,,78.7055,2.6618,1.123125706066,-26.3806362,0.14764185284173,-28.4391434,1.2279,29.69649,32.09104,158.0389,/L,19.1416,77.6,54.6,2.8193,197.85,257.495,-19.14493,Aur,69.183318,85.5450001,20.6951848,,,166.081862,6.246299,7.621979121,0.000354,0.008,0.026,0.027,0.006,78.117,0.0,0.027,1.5185,3e-07,0.01,0.03,1e-05,210.78,7.141006082,19.1398,81.8892,11.6967,120.28727700251599,138.05351407258485
3200 Phaethon (1983 TB),2017-Dec-10 00:00,2458097.5,14.6,0.15,*,m,83.48945,44.0916,83.81924,44.10053,-492.832,109.1934,330.8376,6.1866,574.81,-316.73,-574541.0,241219.7,346.937,14.7597099475,8.45,2.218,11.65,5.21,97.242,0.0016,569125.6,*,0.058913,,,,,16.85,0.01,,,78.7366,2.6492,1.121855287833,-26.4065491,0.14627356528337,-28.4244243,1.21652,29.7266,32.08282,158.0904,/L,19.1193,78.7,53.9,2.7901,196.683,257.007,-19.10276,Aur,69.183319,85.2568409,20.767302,,,165.884921,6.047574,9.6213921219,0.000354,0.008,0.026,0.027,0.006,78.368,0.0,0.028,1.5179,3e-07,0.01,0.03,1e-05,210.8135,9.171760643,19.1176,81.7652,11.7247,120.22110529582011,138.06936539373908
3200 Phaethon (1983 TB),2017-Dec-10 02:00,2458097.583333333,14.6,0.15,*,m,83.1052,44.15244,83.43513,44.16203,-500.048,112.435,351.4517,-0.8267,648.78,-95.27,-576083.0,241468.7,347.857,16.7651856742,999.0,,11.62,5.2,97.247,0.0016,569283.4,*,0.05947,,,,,15.67,0.01,,,78.7678,2.6365,1.120583621085,-26.4325117,0.14490484895705,-28.4525108,1.205137,29.75678,32.14812,158.1343,/L,19.1038,80.0,53.1,2.7617,195.499,256.506,-19.06156,Aur,69.183321,84.9653527,20.8417554,,,165.684242,5.847695,11.6208253649,0.000354,0.008,0.027,0.027,0.006,78.623,0.0,0.028,1.5173,3e-07,0.01,0.03,1e-05,210.8471,11.20284381,19.1022,81.6396,11.7539,120.15141380814897,138.0853090789719
3200 Phaethon (1983 TB),2017-Dec-10 04:00,2458097.666666667,14.6,0.15,*,,82.71369,44.21526,83.04378,44.22552,-510.588,116.1667,13.1542,0.1185,637.67,150.62,-577649.0,241723.9,348.794,18.7706613977,30.398,7.979,11.6,5.2,97.249,0.0017,569412.2,*,0.060038,,,,,14.46,0.01,,,78.799,2.6238,1.119310703302,-26.4585244,0.14353436546321,-28.4919903,1.193739,29.78702,32.26697,158.1701,/L,19.0953,81.3,52.1,2.7344,194.294,255.987,-19.02132,Aur,69.183322,84.6688241,20.919226,,,165.478428,5.645637,13.6202624181,0.000354,0.008,0.027,0.027,0.006,78.884,0.0,0.028,1.5166,3e-07,0.01,0.03,1e-05,210.8808,-10.765590841,19.0938,81.5117,11.7847,120.07749930112743,138.1012349707248
3200 Phaethon (1983 TB),2017-Dec-10 06:00,2458097.75,14.6,0.15,*,,82.31224,44.27999,82.64253,44.29095,-524.49,119.2075,33.136,8.7817,547.5,359.05,-579250.0,241985.3,349.753,20.7761371182,6.232,1.636,11.58,5.2,97.25,0.0017,569512.5,*,0.060617,,,,,13.23,0.01,,,78.8303,2.6111,1.118036532099,-26.4845873,0.14216241685535,-28.5077202,1.182329,29.81734,32.40501,158.1979,/L,19.0938,82.8,51.0,2.708,193.06,255.449,-18.98137,Aur,69.183324,84.3652312,20.999812,,,165.266439,5.439845,15.6196856018,0.000354,0.008,0.027,0.028,0.006,79.152,0.0,0.028,1.5158,3e-07,0.01,0.03,1e-05,210.9146,-8.73336456,19.0924,81.3804,11.8171,119.99921277555666,138.11715352919148
