targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,theta_asp
3200 Phaethon (1983 TB),2012-May-02 10:03:14.499,2456049.918917809,14.6,0.15,,,38.95403,13.1331,39.1208,13.18534,-460.094,51.30866,,,,,-2913.28,-8542.07,199.035,,999,,22.0,7.0,2.556,0.0096,9030.349,*,0.009855,,,,,18.78,0.0,,,231.9139,-12.6725,0.139696633439,2.2000192,0.87440899651762,9.0769077,7.272238,109.5574,82.05801,2.5084,/L,161.5958,129.0,80.7,15.9028,198.782,89.918,16.949,Ari,66.18546,40.9021168,-2.0089357,,,158.404982,-42.439855,,0.0,0.078,0.001,0.078,0.001,0.121,0.0,0.078,4.7512,0.0001298,2.54,9.25,3.2e-05,2.4433,,161.5992,323.3339,-52.7568,101.8798631631221
3200 Phaethon (1983 TB),2012-May-02 12:27:14.499,2456050.018917809,14.6,0.15,,,38.63981,13.16833,38.80655,13.22081,-457.644,55.08903,,,,,-4335.06,-8520.74,207.252,,999,,21.0,7.0,2.872,0.0096,9570.876,*,0.009848,,,,,26.9,0.0,,,234.4259,-11.8421,0.139891005107,4.5289132,0.87501615047613,11.9445832,7.277287,109.4769,82.13214,2.6586,/L,160.4811,130.7,81.6,16.8699,206.896,90.255,16.90604,Ari,66.185458,40.6219963,-1.8805366,,,158.027261,-42.571477,,0.0,0.077,0.001,0.077,0.001,-0.224,0.0,0.077,6.0381,0.0001286,2.52,9.16,4e-05,5.0347,,160.4851,322.3317,-44.64,102.99043716812615
3200 Phaethon (1983 TB),2012-May-02 14:51:14.499,2456050.118917808,14.6,0.15,,,38.32753,13.20606,38.49423,13.25878,-454.312,58.81052,,,,,-5749.79,-8490.26,214.464,,999,,21.0,7.0,3.307,0.0095,10271.62,*,0.00984,,,,,34.01,0.0,,,236.9132,-10.993,0.14021939997,6.8398942,0.87578801408462,14.7791,7.283707,109.3411,82.1689,2.8532,/L,159.0403,132.5,82.5,18.1181,214.007,90.591,16.86025,Ari,66.185457,40.3446929,-1.749966,,,157.648196,-42.698361,,0.0,0.077,0.001,0.077,0.001,-0.568,0.0,0.077,7.3447,0.0001268,2.49,9.04,4.9e-05,7.6163,,159.0448,322.0531,-37.4915,104.07487370429992
3200 Phaethon (1983 TB),2012-May-02 17:15:14.499,2456050.218917808,14.6,0.15,,,38.01777,13.24625,38.18444,13.2992,-450.128,62.45653,,,,,-7155.43,-8450.77,220.674,,999,,20.0,6.0,3.857,0.0095,11098.39,*,0.009829,,,,,40.12,0.0,,,239.3722,-10.1287,0.140680523895,9.1241197,0.87672232123,17.5685129,7.291477,109.1513,82.16869,3.0829,/L,157.3433,134.2,83.4,19.5871,220.114,90.926,16.8117,Ari,66.185456,40.0707438,-1.6174596,,,157.268574,-42.820243,,0.0,0.076,0.001,0.076,0.001,-0.911,0.0,0.076,8.6494,0.0001245,2.44,8.89,5.8e-05,10.1835,,157.3481,322.1867,-31.3291,105.12926065336842
3200 Phaethon (1983 TB),2012-May-02 19:39:14.499,2456050.318917809,14.6,0.15,,,37.71111,13.28885,37.87774,13.34203,-445.132,66.01157,,,,,-8550.0,-8402.49,225.971,,999,,20.0,6.0,4.517,0.0094,12020.76,*,0.009817,,,,,45.32,0.0,,,241.7996,-9.2529,0.141272584353,11.3731907,0.87781613596284,20.3015943,7.300574,108.9089,82.13222,3.3391,/L,155.4526,135.9,84.2,21.2229,225.309,91.261,16.76047,Ari,66.185454,39.8006591,-1.4832586,,,156.889174,-42.936887,,0.0,0.076,0.002,0.076,0.001,-1.253,0.0,0.076,9.9394,0.0001217,2.39,8.7,6.6e-05,12.7315,,155.4576,322.575,-26.0718,106.15007970758873
3200 Phaethon (1983 TB),2012-May-02 22:03:14.499,2456050.418917809,14.6,0.15,,,37.40808,13.33379,37.57468,13.38719,-439.368,69.46146,,,,,-9931.64,-8345.64,230.481,,999,,19.0,6.0,5.282,0.0093,13013.62,*,0.009803,,,,,49.74,0.0,,,244.1926,-8.3692,0.14199331975,13.5792759,0.8790658989849,22.9680019,7.310968,108.6158,82.06046,3.6149,/L,153.42,137.6,85.1,22.9807,229.718,91.594,16.70666,Ari,66.185453,39.5349179,-1.3476075,,,156.510767,-43.048098,,0.0,0.075,0.002,0.075,0.001,-1.595,0.0,0.075,11.2059,0.0001185,2.33,8.47,7.5e-05,15.2559,,153.4252,323.1292,-21.5997,107.1342099545984
3200 Phaethon (1983 TB),2012-May-03 00:27:14.499,2456050.518917809,14.6,0.15,,,37.10919,13.38099,37.27577,13.43461,-432.889,72.79355,,,,,-11298.6,-8280.5,234.332,,999,,19.0,5.0,6.146,0.0092,14056.97,*,0.009787,,,,,53.49,0.0,,,246.5485,-7.4811,0.142840035372,15.7352164,0.88046748293547,25.5584161,7.322625,108.2743,81.95462,3.9047,/L,151.2871,139.3,85.9,24.8244,233.467,91.926,16.65036,Ari,66.185452,39.273964,-1.2107508,,,156.134098,-43.153713,,0.0,0.074,0.003,0.074,0.001,-1.936,0.0,0.074,12.4421,0.0001149,2.26,8.23,8.3e-05,17.7526,,151.2925,323.7954,-17.7886,108.07873155297183
3200 Phaethon (1983 TB),2012-May-03 02:51:14.499,2456050.618917808,14.6,0.15,,,36.81491,13.43037,36.98147,13.48421,-425.752,75.99686,,,,,-12649.3,-8207.36,237.636,,999,,18.0,5.0,7.1,0.0091,15135.2,*,0.00977,,,,,56.69,0.0,,,248.8651,-6.592,0.143809644685,17.8346069,0.88201625458759,28.0646421,7.335506,107.8869,81.81613,4.2042,/L,149.0866,141.1,86.7,26.7259,236.671,92.257,16.59168,Ari,66.18545,39.0182026,-1.0729309,,,155.759888,-43.253607,,0.0,0.073,0.003,0.073,0.001,-2.275,0.0,0.073,13.6428,0.0001109,2.19,7.95,9.1e-05,20.2177,,149.0921,324.5387,-14.5262,108.98126512182559
3200 Phaethon (1983 TB),2012-May-03 05:15:14.499,2456050.718917808,14.6,0.15,,,36.52568,13.48185,36.6922,13.5359,-418.018,79.06212,,,,,-13982.2,-8126.54,240.491,,999,,18.0,5.0,8.138,0.009,16236.2,*,0.009751,,,,,59.45,0.0,,,251.1407,-5.7051,0.14489871466,19.8718525,0.88370714196495,30.479677,7.349568,107.4563,81.64661,4.5101,/L,146.844,142.8,87.5,28.6631,239.426,92.587,16.53074,Ari,66.185449,38.7679985,-0.9343857,,,155.388822,-43.347691,,0.0,0.072,0.003,0.072,0.001,-2.614,0.0,0.072,14.8039,0.0001066,2.11,7.66,9.9e-05,22.6477,,146.8495,325.3353,-11.7168,109.83995083395784
3200 Phaethon (1983 TB),2012-May-03 07:24:50.499,2456050.808917813,14.6,0.15,,,36.26999,13.5299,36.4365,13.58413,-410.599,81.69662,,,,,-15165.5,-8047.51,242.743,,999,,18.0,5.0,9.137,0.0088,17238.7,*,0.009733,,,,,61.61,0.0,,,253.1522,-4.9113,0.145977937712,21.6482952,0.88534595924045,32.5704379,7.363198,107.0342,81.46894,4.7885,/L,144.8061,144.3,88.2,30.4227,241.588,92.882,16.47407,Ari,66.185448,38.5478338,-0.809266,,,155.058085,-43.427353,,0.0,0.071,0.004,0.071,0.001,-2.917,0.0,0.071,15.8123,0.0001025,2.03,7.39,0.000105,24.8022,,144.8117,326.0839,-9.5102,110.57390504178474
